gid,name,AreaSqKm,AreaSqMi
54,18th And Vine And Downtown East,1.05922820425729,0.408970296052778
56,Antioch Acres,2.25038087005411,0.868876911470519
48,Armour Fields,0.971892847338376,0.375249926229311
118,Armour Hills,0.961523641135722,0.371246353332094
156,Ashland Ridge,1.42986043636928,0.552072200896624
120,Bannister Acres,2.01131194639191,0.776571884004125
59,Barry Harbour,6.78581690127196,2.62001855305492
57,Beacon Hills,0.92666734084534,0.357788260551174
138,Birmingham Bottoms,31.0644924163165,11.9940675759653
49,Blenheim Square Research Hospital,1.19250609735176,0.460429178262542
58,Blue Hills,2.92427640133964,1.12906943073197
121,Blue Hills Estates,2.22109517923291,0.857569643030046
60,Blue Ridge Farms,3.67068911755993,1.41726099162816
55,Blue Valley Industrial,5.05323222235447,1.9510638686673
61,Blue Vue Hills,2.92335712910658,1.1287144977385
50,Boone Hills,1.89754793495713,0.73264735362471
122,Boulevard Village,0.46322821983458,0.178853415575906
152,Breen Hills,3.10462408080259,1.19870205906074
62,Briarcliff And Claymont,3.1831183307298,1.2290088583908
63,Briarcliff West,1.49810363175983,0.578421045942748
51,Bridlespur,1.33878343614859,0.516907174517844
2,Broadway Gillham,0.726356224135437,0.280447706009433
99,Brookside Park,0.182194931816423,7.03458564498146e-002
3,Brown Estates,3.76030926046382,1.45186352225223
5,CBD Downtown,1.60497442039702,0.619684088120702
4,Calico Farms,3.20843744355407,1.23878462250463
123,Center City,0.321989310166513,0.124320767682884
6,Central Blue Valley And Park Tower Gardens,1.24571648712702,0.480973824611656
160,Central Hyde Park,0.685637173605674,0.264725992706093
7,Chaumiere,1.5507081328329,0.598731757356108
84,Chouteau Estates,2.66876778659593,1.03041700305323
64,Citadel,0.684742703632411,0.264380635918664
101,Clayton,2.99763969848486,1.15739515811753
45,Coachlight Square,0.667237241199334,0.25762173908697
85,Coleman Highlands,0.664498514604235,0.256564310836944
86,Colonial Square,0.512690595230326,0.19795094548284
102,Columbus Park,0.588392219302829,0.227179505942403
87,Columbus Park Industrial,1.03384131006688,0.399168361407171
88,Cooley Highlands S,1.14330292608122,0.441431727627854
46,Country Club,0.326078690740748,0.125899686349697
47,Country Club District,0.585071891424642,0.225897520181566
89,Country Club Estates And Big Shoal,1.28813755019735,0.497352688630774
103,Country Club Plaza,0.234701318165884,9.06186855566053e-002
90,Country Lane Estates,1.38193322337167,0.533567400505321
91,Country Valley-Hawthorn Square,2.30556198008896,0.890182457165743
65,Countryside,0.747667353317224,0.288675978987498
14,Coves North,7.19839727209841,2.77931672480325
92,Crestview,1.82141757901942,0.703253258866554
124,Crestwood,0.277725590151239,0.107230449839868
151,Crossgates,0.876081866438336,0.338257099691736
125,Crossroads,0.764862958013009,0.295315239077983
97,Crown Center,1.51554761776557,0.585156206593147
126,Cunningham Ridge,1.4324279097312,0.553063507903659
82,Davidson,4.78889755240752,1.84900368202318
106,Dunbar,0.756591725066729,0.292121698183617
83,East Blue Valley,0.960278900156863,0.370765756153331
17,East Community Team North,2.51301519555485,0.970280591453695
107,East Community Team South,1.88415339272629,0.727475691956693
98,East Meyer 6,1.35703498457655,0.523954136762621
154,East Meyer 7,1.20631314958827,0.465760110934169
18,East Swope Highlands,3.09763558865833,1.19600378715888
1,Eastern 49-63,1.32530909803874,0.511704703488698
19,Eastwood Hills East,4.15907963598265,1.60582962500283
20,Eastwood Hills West,4.02033832960134,1.55226130713001
108,Fairlane,4.40811896461837,1.70198424735105
110,Fairway Hills,1.49428798127174,0.576947815053051
27,Fairwood And Robandee,2.06043134925701,0.795536991476657
100,Forgotten Homes,0.30369134530158,0.117255883951599
28,Foxcroft And Glen Arbor,0.9206609359123,0.355469174641448
111,Foxtown East,0.606936683063493,0.234339563429407
29,Foxwoods-Carriage Hills,1.26954297358193,0.490173282462377
30,Gashland,8.43602880516743,3.2571689312014
21,Glen Lake,0.107531128957512,4.15180010010015e-002
31,Glenhaven,0.886101334787793,0.342125638048909
22,Gracemor-Randolph Corners,2.14840171627873,0.829502540071513
112,Greenway Fields,0.358115860769936,0.138269306851558
32,Hanover Place,0.607286815659658,0.234474750380562
137,Harlem,1.24932468938322,0.48236695929123
33,Hawthorne And Picture Hills,1.22199804564978,0.471816083160032
34,Hickman Mills,3.1078453222798,1.19994578734827
23,Hickman Mills South,2.88098483044679,1.11235446176355
113,Hidden Valley,1.98339887780483,0.765794587971111
8,Highview Estates,9.51794183810986,3.67489788857567
9,Hill Haven,3.54473921610432,1.36863146280793
10,Hillcrest,5.04874994321515,1.94933325101642
24,Holiday Hills,0.356159596653118,0.137513989053376
114,Holmes Park,0.801918987720966,0.309622652135238
11,Hospital Hill,1.21708802861659,0.469920314985036
109,Independence Plaza,1.11271283449228,0.429620827235354
115,Ingleside,0.730922411446528,0.282210720786554
12,Ivanhoe Northeast,0.56459264070042,0.217990437271612
13,Ivanhoe Southeast,1.139465447627,0.439950068913321
25,Ivanhoe Southwest,0.821430982273037,0.317156275349261
244,Jefferson Highlands,2.71897128305518,1.04980068140253
204,KCI & 2nd Creek,135.299669175512,52.2394943187438
26,Key Coalition,1.28885040599365,0.497627923792456
218,Kirkside,1.80351677803206,0.696341720965694
209,Knoches Park,1.65203318218905,0.637853577626937
210,Lakeview Terrace,1.80128773832101,0.695481083921781
211,Lea Manor,2.60952817799295,1.00754446230042
212,Leeds,3.26250187748541,1.2596590171459
81,Legacy East,4.11026385331687,1.58698174594463
116,Lewis Heights,1.2544642459576,0.484351353178551
213,Linden Hills And Indian Heights,3.19473526548475,1.23349418197534
214,Linden Park,0.777737733895142,0.300286217836825
153,Line Creek And Northern Heights,3.13288606072434,1.20961407051321
78,Linwood Homeowners-Ivanhoe,0.71976176326251,0.277901570431972
215,Little Blue,30.8326378574771,11.9045480303295
35,Loma Vista,3.24231405038931,1.25186445352781
158,Longfellow,0.786473232557145,0.303659012726169
161,Longview,30.8278712987447,11.902707651714
216,Lykins,2.17230636125651,0.838732175096623
205,Manheim Park,0.644019130166736,0.248657176300005
172,Maple Park,1.89083974340057,0.730057306384806
173,Maple Park West,1.62411940541725,0.627076008162275
93,Marlborough East,3.61010176130035,1.39386808259595
206,Marlborough Heights/Marlborough Pride,1.9308845738961,0.745518701877594
159,Martin City,5.11460999130635,1.97476195774614
104,Meadowbrook Heights,3.48335083208852,1.34492927523
94,Minneville,6.30429350881997,2.43410133184052
95,Mission Lake,7.45311577789557,2.87766408971224
79,Morningside,0.701080686045215,0.270688766194476
207,Mount Cleveland,0.810452810432057,0.312917579504609
66,Mount Hope,0.315955315389653,0.121991029274904
105,Nashua,5.11368165695476,1.97440352584914
96,Neighbors United For Action,1.37432596590896,0.530630221978382
80,New Mark,3.21964318259681,1.2431111825371
131,Noble And Gregory Ridge,2.29150860228203,0.884756417659676
208,North Blue Ridge,1.6540208359966,0.638621015052468
41,North Hyde Park,0.572695136374164,0.221118828340825
175,North Indian Mound,1.56109088880945,0.602740561850274
176,North Town Fork Creek,2.82505546105298,1.09076001151468
177,Northeast Industrial District,6.9469571304059,2.68223514335155
132,Oak Meyer Gardens,0.482553872715245,0.186315091868373
67,Oak Park Northwest,1.11728292322079,0.43138534835816
68,Oak Park Southeast,0.926378110812956,0.357676588211356
178,Oak Park Southwest,1.07204998797881,0.41392081442402
179,Oakwood,3.60879398650806,1.39336314792576
42,Old Westport,0.699164314526573,0.269948851014559
180,Oldham Farms,1.67850313239622,0.648073682538438
181,Outer Gashland-Nashua,17.792853603389,6.86985918289823
133,Palestine East,0.559107153917534,0.215872478984084
43,Palestine West And Oak Park Northeast,0.559127396345824,0.21588029462934
157,Park Central-Research Park,0.560519465442345,0.216417775512347
182,Park Farms,4.11083563628216,1.58720251258175
183,Park Forest,2.72807676464686,1.05331632749965
163,Park Plaza,3.77099325999019,1.45598863753123
164,Parkdale And Walden,6.57926965893118,2.54027021694615
134,Parkview,0.528710345387682,0.204136205597906
184,Paseo West,0.830817005158567,0.320780239045493
135,Pendleton Heights,1.6901600402872,0.652574439837076
187,Platte Brook North,2.68992531126589,1.03858596899772
69,Platte Ridge,1.41563192476745,0.546578541854308
44,Plaza Westport,0.478650040422762,0.184807813793657
185,Prairie Point-Wildberry,3.88572504785568,1.50028682847953
186,Quality Hill,0.501298033585361,0.193552252840391
188,Ravenwood-Somerset,5.09962897154833,1.9689777536804
189,Red Bridge North,2.21546829910766,0.85539709246783
136,Red Bridge South,1.3633497035313,0.52639226338164
190,Richards Gebaur,21.1005386784364,8.14696353015265
165,Ridgefield,4.05484656177359,1.5655850100592
174,Riss Lake,3.18022413929821,1.22789140483183
150,River Forest,1.51067794079429,0.583276013803134
71,River Market,0.905176408244504,0.349490565084901
243,River View,2.52940586114192,0.976609062816808
75,Roanoke,0.365990697982521,0.141309798497508
196,Robandee South,3.23833620502558,1.25032859884653
197,Rockhill,0.348602989613119,0.134596366763975
198,Rockhill Manor,0.485375425102614,0.187404499335577
70,Rolling Meadows,0.484987238222893,0.187254619543398
76,Romanelli West,0.585237248762122,0.225961365006498
199,Royal Oaks,1.70486962773473,0.658253843301835
200,Royal Oaks North,1.49048061101546,0.575477781178732
191,Ruskin Heights,2.07997038619613,0.803081055814691
201,Ruskin Hills,2.61695647632241,1.01041254431971
77,Santa Fe,0.800259026256884,0.308981737430859
202,Santa Fe Hills,1.30632031276321,0.504373092505718
203,Scarritt Point,2.14529577412331,0.828303329100999
139,Sechrest,2.48799492867461,0.960620212403925
72,Self Help Neighborhood Council,0.964148573592083,0.372259845419523
219,Sheffield,2.09751372020659,0.809854574944161
220,Sheraton Estates,0.163994325645113,6.33185631202909e-002
221,Sherrydale,2.43956424419452,0.941921020586474
222,Sherwood Estates,1.12032909119825,0.43256148038954
245,Shoal Creek,84.1463031397268,32.4890692756155
223,South Blue Valley,2.28660571923268,0.882863403931239
192,South Hyde Park,0.674368573217283,0.260375161772383
193,South Indian Mound,1.57816734592035,0.609333818801049
36,South Plaza,0.590685355195724,0.22806489066048
16,South Town Fork Creek,0.931916033951888,0.359814792289139
217,Southmoreland,1.07011092174276,0.413172136764725
73,Squier Park,0.319007808012534,0.123169603265534
246,St Catherines Gardens,4.08358470183712,1.57668086797022
166,Stayton Meadows,2.82204692997396,1.08959841117103
37,Sterling Acres,1.11185458117669,0.429289453777625
194,Sterling Gardens,0.767101450741459,0.296179525952319
167,Stratford Estates,2.24379684207211,0.866334804054765
74,Stratford Gardens,0.431741047635146,0.166696150423307
38,Strupwood,0.491240136726613,0.189668877152831
168,Sunset Hill,1.26704216516127,0.48920771493306
195,Sunset Hill West,0.462213763990134,0.17846173198462
169,Swope Park Campus,0.976592300359165,0.377064395184606
170,Swope Park Ridge-Winchester,1.39399442544085,0.538224256658847
171,Swope Parkway-Elmwood,3.18709227145859,1.23054320548411
226,Tanglewood And Regency North,1.67652500657977,0.647309923890837
227,Terrace Lake Gardens,1.36216762427688,0.52593586002994
144,The Coves,3.3665011505858,1.29981336097681
145,Timber Valley,0.34972853610566,0.135030942694285
146,Tower Homes,2.58880464933187,0.999543063151754
39,Union Hill,0.4428671288517,0.170991954397137
228,Unity Ridge,2.35551188053978,0.909468221548784
229,Valentine,0.63452173927374,0.244990213175698
230,Verona Hills,1.86555443724283,0.720294595097894
231,Vineyard,1.77477940458776,0.685246159048011
232,Vineyard Estates,1.81619205235593,0.701235671742261
40,Vineyard Northwest,0.820031351935168,0.316615875054649
233,Volker,1.45559896705579,0.562009903152396
129,Waldo Homes,0.972020806926652,0.37529933170255
155,Ward Estates,0.371518671841347,0.143444161136767
147,Ward Parkway,1.92633028357284,0.743760280553155
130,Ward Parkway Plaza,0.422092783373722,0.162970934765783
234,Washington Wheatley,1.54469632316141,0.596410584665201
235,Wendell Phillips,1.75721346869459,0.67846391328284
140,West Blue Valley,0.923842262093328,0.35669749154697
148,West Plaza,1.06126388278896,0.409756275927954
141,West Waldo,0.974092737749994,0.376099308665793
236,Western 49-63,1.93177230839141,0.745861458082445
237,Western Blue Township,3.37466151202638,1.3029640941435
238,Western Hills,1.62017794482193,0.625554201718612
149,Westside North,1.26601715701276,0.488811957074398
239,Westside South,1.5293655903117,0.590491355619891
224,Westwood,0.406780887987249,0.15705897890569
240,White Oak,2.78329025781985,1.0746343763944
162,Willow Creek,1.99913022533508,0.771868495209321
241,Winnetonka,2.17093101721856,0.838201151794834
127,Winnwood,1.76622947072724,0.68194501112907
128,Winnwood Gardens,0.684814550699453,0.264408376226334
142,Woodbridge,0.617371705737894,0.238368548208432
225,Woodson Estates,0.32895870252323,0.127011665115542
143,Wornall Homestead,0.404258465545069,0.156085066156008
