GEOID,medianAge,population,noEducation,highschoolEducation,gedEducation,associatesEducation,bachelorsEducation,masterEducation,professionalEducation,doctorateEducation,medianHHIncome,rentAsPercIncome
290950003001,30.1,1815,60,232,15,60,142,61,15,6,24918,40.4
290950008001,27.8,992,6,231,12,27,58,15,0,0,32479,30.1
290950074003,40.1,897,0,67,0,28,259,115,50,6,43906,35.7
290950074004,40.5,805,9,41,0,48,161,177,68,32,78375,19.4
290950075001,35.1,926,0,158,35,54,70,30,5,0,29792,50
290950075002,21.8,828,7,62,43,60,63,13,3,6,30809,37.8
290950075003,19.8,1095,0,32,4,36,71,42,0,13,75238,33.3
290950076001,47.6,676,17,144,43,30,60,4,5,0,25288,50
290950076002,42.1,489,8,88,25,42,0,0,0,0,17222,50
290950076003,28.3,935,0,226,0,49,11,8,0,8,26118,28.9
290950077001,41,561,4,126,20,20,13,3,0,0,13125,46.6
290950077002,40.9,1142,3,244,39,74,25,0,3,0,24531,38.1
290950008002,35.5,1163,70,156,48,13,124,30,23,8,42267,21.1
290950078021,25.8,681,13,179,24,0,9,0,0,0,32727,46.5
290950078022,31.9,758,0,160,12,22,51,14,9,0,41484,26.1
290950078023,56.8,909,3,279,12,25,90,55,6,0,16714,35.7
290950079001,21.6,1198,11,125,28,99,0,0,13,0,23681,42.9
290950079002,45.4,680,0,105,45,53,31,0,0,0,25568,39.8
290950079003,39,679,0,155,23,53,43,10,0,0,32429,28.7
290950079004,36.7,515,8,87,18,60,0,0,0,0,39219,24.2
290950079005,52.6,638,0,231,14,34,0,0,0,0,28558,29.6
290950080001,37.6,731,0,184,36,15,63,2,0,10,24667,50
290950080002,24,1057,0,171,47,52,48,0,0,0,31518,35.8
290950008003,47.2,426,12,95,41,0,42,9,0,0,29806,25.6
290950080003,44.2,1192,0,219,48,104,45,61,0,0,35994,31.7
290950081001,37.7,605,0,155,23,28,23,15,0,14,45385,36.1
290950081002,33.1,1289,0,212,29,75,75,30,6,0,34911,29.3
290950082001,34,788,7,44,0,0,349,81,31,10,56118,50
290950082002,33.5,1102,0,39,23,25,287,134,19,42,85175,23.8
290950082003,30.9,784,56,42,13,16,165,81,52,5,50781,31.8
290950082004,41,459,0,9,10,23,124,87,56,13,89875,
290950083001,46,1134,0,101,0,39,317,148,87,47,127000,
290950083002,42.1,1221,0,53,29,11,338,211,80,63,104015,21.5
290950084001,46.8,665,14,15,0,6,188,87,113,5,250001,
290950008004,33.5,891,0,58,109,24,8,8,0,0,22188,50
290950084002,45.9,644,0,20,0,28,128,95,72,39,165938,
290950084003,41.9,1513,0,48,11,36,314,315,132,87,160417,
290950085001,43.4,550,0,11,0,8,168,101,75,26,193472,
290950085002,50.1,834,0,19,7,12,348,132,71,20,118188,
290950085003,40,2068,0,23,0,37,673,259,229,45,144375,
290950086001,37.7,1217,0,83,8,50,255,152,69,29,75132,17.8
290950086002,46.4,889,0,41,0,46,203,113,144,69,89861,13.2
290950086003,36.6,695,0,22,0,16,259,89,14,0,71563,50
290950086004,40.4,1687,0,23,0,27,418,409,127,30,126635,
290950086005,42.1,830,0,67,0,0,220,267,48,0,88358,49.7
290950009001,34.1,671,9,34,0,53,83,22,21,0,37750,50
290950087001,39.9,1400,23,338,28,34,132,98,1,38,28160,34
290950087002,43.8,944,8,287,20,10,29,11,0,33,26213,40.3
290950088001,44.2,787,13,224,8,42,61,16,0,0,32040,23.4
290950088002,40.8,632,5,174,18,25,30,24,0,0,28482,50
290950088003,28.4,550,9,95,0,19,42,21,14,0,19453,50
290950088004,35.1,611,0,134,21,0,7,0,0,0,41354,26.6
290950088005,44.5,783,15,206,46,25,33,0,0,0,25078,49.8
290950089001,43.1,623,0,114,27,24,55,15,0,0,45313,50
290950089002,30.9,1521,11,344,36,81,82,36,0,0,18988,50
290950090001,47,332,0,120,36,8,8,0,0,0,33750,44.6
290950009002,26.7,973,43,50,51,70,47,17,0,0,23827,30.8
290950090002,31.6,570,0,94,4,29,17,10,0,0,31029,31.7
290950090003,41.6,1504,9,257,151,90,147,59,0,0,38295,41.6
290950090004,28.4,1775,6,317,32,42,84,30,13,0,55074,31
290950090005,47.8,439,12,116,10,9,11,0,9,0,25929,28.6
290950091001,44,857,0,133,18,39,246,115,23,0,71579,26.7
290950091002,35.2,593,0,27,0,9,276,83,36,7,66750,
290950091003,32.3,1488,0,198,1,37,410,171,39,43,56645,23.8
290950091004,43.8,1039,0,141,0,10,323,118,29,8,46250,26.4
290950092001,41.5,1119,0,41,0,44,303,181,100,76,126823,12.3
290950092002,32.2,608,0,69,6,69,85,109,0,13,50142,50
290950009003,34.1,673,20,164,27,24,30,8,0,8,37448,
290950092003,35.6,1058,0,64,0,50,258,139,47,25,81389,31.3
290950093001,36.6,773,0,90,0,85,179,84,27,10,60394,27.4
290950093002,34.4,721,0,73,12,15,170,98,22,23,72500,15.4
290950093003,42,1004,0,129,10,64,223,58,31,0,55612,22.1
290950094001,40.4,1337,0,249,63,44,227,140,12,0,31196,31.6
290950094002,28.8,997,16,209,17,17,42,0,16,0,12019,50
290950094003,34,1673,0,19,35,97,311,152,32,19,44042,28.6
290950094004,51.7,704,0,144,105,56,103,103,0,14,58172,
290950095001,27.1,959,0,187,18,57,10,0,0,0,26049,50
290950095002,36.9,822,0,135,62,0,0,49,0,0,30924,32.4
290950009004,47.1,492,0,82,7,0,38,0,5,10,16500,50
290950095003,34,961,23,115,85,24,29,0,0,0,27868,42.9
290950095004,21.4,261,0,28,0,13,0,17,0,0,18314,39.9
290950096001,19.1,1580,1,235,25,35,18,15,0,0,15323,50
290950096002,28.2,653,36,72,11,25,12,0,0,0,23750,29.7
290950097001,23.9,627,0,115,0,21,48,12,0,0,21875,33.7
290950097002,30.1,680,0,68,3,42,70,17,6,0,26786,36.4
290950098001,30.6,855,0,89,0,91,142,55,0,23,44464,24.1
290950098002,45.8,1036,1,99,9,86,256,99,9,13,49643,18
290950098003,38,782,0,75,10,70,144,88,10,0,52386,42.9
290950098004,30.9,859,0,43,43,95,76,51,0,16,58625,25.1
290950010001,36.3,806,29,123,56,26,8,9,0,0,28056,50
290950099001,37.1,1378,5,243,41,116,288,91,1,0,51188,23.8
290950099002,46.2,740,1,118,33,50,207,75,29,0,51833,
290950100011,65,493,0,94,0,31,128,82,15,7,82143,
290950100012,51.7,1356,0,226,19,100,257,144,34,37,52321,41.4
290950100021,38,1200,0,174,23,102,304,141,0,0,39189,22.5
290950100022,42.1,1095,1,132,19,89,117,53,0,30,32099,33.4
290950100023,45.4,965,0,296,20,49,186,0,0,27,41837,27.7
290950101031,46,587,0,115,51,14,73,21,0,0,48009,26.5
290950101032,26.9,948,0,154,9,19,83,59,2,11,36899,28.4
290950101033,38.8,797,0,153,8,20,97,55,4,13,41198,29.5
290950010002,31.3,1138,6,54,26,44,100,15,13,0,27443,25.3
290950101051,54.5,1703,0,226,42,35,274,209,46,28,51917,24.1
290950101052,44.4,1137,2,38,0,109,241,146,21,49,123182,
290950101053,59.5,858,0,124,9,38,255,131,51,12,104444,
290950102011,25.1,2388,0,392,17,107,169,10,0,0,20323,33.7
290950102031,35,1793,0,379,28,72,184,98,8,0,70720,30
290950102032,47.3,1318,0,182,43,35,190,68,17,0,73929,18.7
290950102033,36.9,1569,3,259,21,149,200,37,0,42,53382,49.3
290950102041,27,1827,8,159,129,36,221,83,7,64,50389,23.7
290950102042,27.4,2088,63,389,19,156,391,56,17,0,59244,19.8
290950102043,27.9,1583,0,333,137,57,51,39,0,0,33281,24.8
290950006001,28,981,33,295,34,17,9,0,0,0,16528,50
290950010003,21.8,1006,18,82,0,0,33,9,0,0,14145,42.1
290950105001,35,866,0,157,47,59,93,30,10,0,34656,32.2
290950105002,51.9,659,13,135,37,17,47,0,20,13,17100,27.4
290950105003,36.4,1069,0,214,67,31,9,16,0,0,34531,48.2
290950105004,29.7,846,12,160,0,66,93,15,0,0,35655,23.2
290950105005,35.1,1324,0,220,100,84,60,65,0,0,31655,44.1
290950106001,46.6,854,0,203,17,88,66,21,0,0,50568,28.1
290950106002,47.5,950,0,176,14,79,123,61,0,0,51042,
290950106003,26.8,991,21,224,45,49,52,44,0,0,61389,15.8
290950106004,50.3,478,0,99,28,51,50,18,5,0,38250,
290950107021,37.9,1065,11,182,14,48,164,26,0,0,43846,18.6
290950011001,29.8,993,0,97,33,77,298,100,11,33,22266,32.5
290950107022,28.6,2334,8,480,69,119,83,92,0,0,26346,40.9
290950110001,33.4,837,9,301,44,40,0,0,0,0,36152,43.3
290950110002,42.3,602,0,188,60,36,26,0,0,0,31522,23.8
290950110003,34.2,1087,21,366,50,0,28,0,0,18,31723,30
290950110004,49.4,826,29,117,25,48,41,14,0,0,22254,50
290950110005,28.4,1227,0,159,47,168,27,11,0,0,33152,50
290950111001,31.1,1166,0,240,23,86,61,53,0,0,35868,50
290950111002,52.4,735,11,239,45,22,46,49,7,0,35924,31.6
290950111003,41.1,1323,5,319,70,65,102,0,0,0,39009,30.9
290950112001,29,1264,0,231,59,85,69,33,0,0,56818,28.4
290950011002,35.9,646,0,43,10,83,89,113,29,0,44524,26.4
290950112002,53.2,851,13,295,59,5,65,21,0,0,46500,
290950112003,37.7,1110,18,364,49,63,85,0,0,0,34253,26.4
290950113001,37.4,2991,15,778,122,133,61,29,5,6,35673,50
290950113002,35.3,1904,26,425,104,25,102,21,8,0,37222,26
290950114011,44.5,1095,45,149,93,42,117,18,0,0,32083,50
290950114012,36.7,1558,69,503,14,93,69,0,0,0,31337,26.5
290950114013,36.2,4566,0,1199,152,178,223,145,0,31,41250,41.5
290950114014,35.3,1560,0,433,94,59,93,55,43,0,58581,47
290950114051,24,2794,31,436,112,166,103,18,0,13,17000,36.2
290950114052,43.2,630,21,178,11,0,44,9,0,0,60707,
290950018001,42.5,281,10,45,27,6,12,0,0,0,19348,50
290950114061,29.1,1555,0,405,97,82,52,0,0,0,63333,33.1
290950114062,32.6,2779,0,719,98,94,198,23,8,0,52286,30.2
290950114063,36.2,1509,0,527,45,30,118,8,0,0,65625,18.3
290950115001,39.5,772,0,75,47,0,53,0,0,0,26563,27.8
290950115002,24.9,1172,16,272,43,0,0,1,0,0,46406,43.9
290950115003,42.8,971,0,216,63,12,71,43,6,15,32530,24.6
290950115004,42.8,625,8,142,33,32,8,0,0,0,37292,50
290950115005,34.5,1372,0,297,0,26,29,52,0,15,33266,31
290950115006,31.7,719,0,204,10,0,18,0,0,0,18945,50
290950116001,39.5,1036,0,142,51,16,52,11,22,0,24844,29.8
290950018002,40.7,574,31,67,8,49,23,0,0,0,27292,10
290950116002,53.4,552,11,137,0,94,53,14,0,0,37404,35
290950116003,46.3,801,12,225,43,30,59,16,0,0,28188,29
290950116004,54.8,761,0,125,0,57,87,74,32,0,36406,31.2
290950116005,34.2,776,21,137,40,50,33,69,0,0,29545,35.3
290950116006,66.2,872,0,356,25,15,33,17,17,0,16754,50
290950117001,32,867,0,135,54,39,30,20,0,0,38750,23.5
290950117002,33,738,0,104,9,80,134,19,0,10,50058,26.9
290950117003,47.2,536,0,102,53,33,24,14,0,11,21923,47.8
290950117004,33.8,1183,19,212,121,31,31,17,0,8,35662,50
290950117005,37.6,663,7,76,31,36,36,14,0,0,27882,46.8
290950018003,26.8,660,7,85,52,18,23,0,0,0,14707,50
290950118001,50.7,1496,0,456,72,0,199,52,0,0,28338,28.3
290950118002,27.5,2862,8,413,72,48,66,13,13,0,29848,32
290950118003,24.6,894,0,97,23,25,24,49,0,0,32566,50
290950119001,44.5,991,30,377,22,23,43,0,0,0,32056,50
290950119002,33.7,728,1,203,3,25,64,16,0,0,32072,38
290950119003,54,1005,21,266,122,75,108,37,0,0,45031,37.5
290950119004,42.1,733,0,171,51,25,80,0,0,0,49313,23.4
290950120001,41.6,1630,25,353,61,80,139,26,0,0,36750,32.3
290950120002,45.7,707,0,175,38,46,38,12,10,11,55875,18.6
290950120003,52,918,20,176,112,26,67,12,0,0,46853,39
290950018004,31.3,819,19,162,29,18,23,0,0,0,22917,45.4
290950121001,43.3,1812,0,470,24,103,206,42,37,50,60278,41.9
290950121002,33.9,2273,3,539,47,135,188,67,0,0,37317,32.4
290950121003,30.2,1772,14,420,70,135,107,13,25,0,47610,29.2
290950122001,27.5,1617,0,257,37,176,137,0,0,0,46675,35.8
290950122002,47.1,1652,14,622,64,67,157,30,0,0,43848,50
290950122003,37.5,1405,1,372,13,61,165,88,0,0,63281,14.5
290950122004,49.2,1268,0,255,69,57,139,82,13,15,59224,17.4
290950123001,48,1979,0,480,0,57,232,140,30,0,55208,40.2
290950123002,47.9,1347,9,400,40,57,80,64,0,0,40808,26.5
290950124001,34.4,1808,0,316,96,85,141,20,0,9,59018,22.1
290950019001,36,915,107,213,49,2,8,2,0,0,22900,48
290950124002,34.7,873,25,208,28,78,48,0,0,0,46188,
290950124003,53.7,867,10,226,10,60,64,12,0,0,39295,35.1
290950124004,37.4,951,0,173,52,26,119,7,0,0,53167,35.7
290950125011,36.4,1760,0,183,68,75,131,49,0,0,38220,32.1
290950125012,39.7,1756,0,341,13,68,275,47,0,8,62708,30.7
290950125021,43.5,596,0,142,16,35,73,32,16,10,57880,30.3
290950125022,41.6,667,0,143,20,63,36,6,0,0,44712,
290950125023,40.1,1517,0,223,74,78,181,102,11,0,50000,21
290950126001,51.4,981,0,180,65,19,108,66,0,11,53386,42.5
290950126002,41.4,828,0,196,32,59,62,21,0,13,40211,36.7
290950019002,29.9,444,21,73,36,12,0,9,0,0,8173,48.9
290950126003,35.6,1546,30,307,79,44,302,24,20,0,42330,25
290950126004,42.9,1610,50,448,21,47,250,57,9,0,26842,37.9
290950127011,55.3,951,0,122,18,114,99,65,0,0,47500,50
290950127012,36.3,3076,0,459,43,69,321,164,18,39,63500,13.8
290950127013,47.7,1549,0,292,22,76,140,90,19,0,49853,37.9
290950127014,34.3,1216,11,330,10,74,129,15,0,24,48724,
290950128021,35,1623,0,180,70,70,254,93,5,0,52351,25.5
290950128022,38.1,1949,16,311,118,118,301,100,15,0,66176,14.9
290950128031,50.4,777,0,235,38,94,33,59,47,0,80625,13.6
290950128032,38.9,1015,0,257,33,30,126,48,11,11,50476,26.2
290950019003,28.8,418,0,29,9,35,37,0,0,0,23875,50
290950128041,30.9,1050,30,210,0,108,68,20,0,0,15585,50
290950128042,38.6,2103,6,296,91,126,154,119,0,23,56563,43
290950128043,22.7,965,0,191,28,19,19,0,0,0,40588,
290950128044,36.5,2096,23,348,170,167,131,35,0,15,60357,30.7
290950129031,35.9,1147,0,267,51,34,31,68,0,0,41389,28.8
290950129032,50.8,640,0,257,41,10,72,10,0,0,32235,50
290950129033,30.9,1359,0,270,28,16,103,28,0,8,36369,40.9
290950129034,38.9,637,9,247,0,11,72,13,0,0,62305,34.3
290950129041,38.5,875,7,157,19,62,61,34,9,0,66494,22.5
290950129042,47.5,797,0,154,16,51,95,66,0,0,57353,24.3
290950006002,30.4,1174,0,187,32,14,8,27,9,0,25694,50
290950019004,30.5,1001,73,160,73,9,8,0,0,0,33333,32.7
290950129043,41.6,919,0,167,13,121,152,23,0,0,65455,22.9
290950129061,43.2,756,0,204,19,43,53,17,0,0,43194,49.1
290950129062,35.4,774,0,109,0,63,101,0,0,0,57386,50
290950129063,48.4,725,0,220,8,74,18,23,0,8,54375,
290950129064,31.5,766,0,106,40,0,58,28,0,0,36725,50
290950129065,31.1,1546,0,349,74,108,62,26,0,0,40197,50
290950130031,28.7,1138,0,302,46,48,108,20,0,0,51177,28.5
290950130032,30.5,1686,46,456,46,61,122,15,0,0,50568,50
290950130033,31.9,1932,0,288,39,97,150,0,0,0,35568,24.5
290950130034,30.1,935,0,224,0,23,31,25,0,0,33100,36.2
290950020001,30.9,1330,17,254,86,0,5,0,0,0,30511,29.8
290950131001,30.4,1289,0,217,27,71,72,88,0,0,39856,30.3
290950131002,42.8,900,4,140,22,66,85,74,11,0,36336,50
290950131003,46.9,869,0,224,10,73,44,33,0,11,32500,49
290950132031,33.6,1355,9,330,63,73,34,40,0,0,36935,24.6
290950132032,27.6,853,17,110,24,52,31,11,0,0,29044,36.2
290950132033,30,606,0,33,28,33,31,13,0,0,22371,50
290950132034,19.3,1395,19,203,18,59,49,0,0,0,26768,22.8
290950132081,26.9,1606,0,220,42,75,8,29,22,0,41563,50
290950132082,46.4,1271,31,143,27,68,82,21,0,12,17107,48.9
290950132101,37.4,1023,0,157,36,122,47,17,0,0,42545,43.1
290950020002,25.5,1095,7,155,34,6,5,0,3,0,16922,50
290950132102,30.9,601,0,121,27,17,29,24,0,0,50804,37.2
290950132103,32.8,907,6,195,0,0,56,51,0,0,68942,16.4
290950133011,33.1,1708,19,307,97,79,267,28,6,0,47292,18.2
290950133012,49,1177,0,322,26,86,66,43,0,0,27817,31.5
290950133013,32.7,1008,9,329,37,22,85,30,0,0,44271,50
290950133071,32.1,1105,6,330,55,39,42,17,0,0,36765,16.5
290950133072,41.2,1780,16,198,7,106,125,86,5,0,40456,27.9
290950133091,47,1245,14,236,28,69,146,54,16,11,53194,
290950133092,32.9,1562,11,310,33,36,166,57,0,10,70811,28.8
290950133093,33,1629,0,196,68,72,89,36,0,24,26940,31.9
290950021001,54.2,419,0,71,35,0,54,0,0,0,22303,45.3
290950133131,31.3,1510,2,243,39,121,181,10,10,19,49934,50
290950133132,37.9,1723,0,258,56,122,189,96,0,20,60625,20.6
290950133133,31.4,1910,8,367,19,97,108,66,0,0,63000,34.8
290950134011,31.5,1538,0,164,26,46,141,32,18,3,39688,32.6
290950134012,24.5,920,9,107,32,20,19,11,5,0,37250,31.3
290950134013,24.4,460,9,33,19,23,30,0,0,0,33688,20
290950134051,28,1060,15,132,42,21,134,30,5,8,31538,50
290950134052,62.2,602,0,84,6,30,84,117,10,44,53015,37.8
290950134053,17.4,700,12,33,31,11,30,0,0,5,9773,33
290950134071,57,863,0,28,12,44,271,95,38,46,89375,
290950021002,22,866,0,135,23,19,40,0,0,0,16141,49.4
290950134072,56,1762,16,260,9,75,406,142,119,67,53125,50
290950134081,28.6,1855,0,105,15,138,311,175,12,56,53229,26.9
290950134082,36.2,1917,0,387,26,90,200,104,46,0,56384,22.5
290950134083,64.4,567,0,112,0,45,119,47,0,0,55474,
290950134084,40.9,889,0,178,6,19,168,77,67,17,61389,
